------,Lesson 1
一つ,hitotsu
十一,juuichi
二つ,futatsu
十二,juuni
二十,nijuu
三つ,mittsu
十三,juusan
三十,sanjuu
四つ,yottsu
十四,juuyon
四十,yonjuu
五つ,itsutsu
十五,juugo
五十,gojuu
六つ,muttsu
十六,juuroku
六十,rokujuu
七つ,nanatsu
十七,juunana
七十,nanajuu
八つ,yattsu
十八,juuhachi
八十,hachijuu
九つ,kokonotsu
十九,juukyuu
九十,kyuujuu
十,juu
百,hyaku
三百,sambyaku
六百,roppyaku
八百,happyaku
千,sen
三千,sanzen
八千,hassen
一万,ichiman
十万,juuman
百万,hyakuman
円,en
五十円,gojuen
一万円,ichimanen
------,Lesson 2
年,nen
お年寄(よ)り,otoshiyori
2020年,nisennijunen
一年,ichinen
月,tsuki
月曜日,getsuyoubi
四月,shigatsu
九月,kugatsu
こどもの日,kodomonohi
誕生日,tanjoubi
三日,sangatsu
五日,gogatsu
九日,kokonoka
日曜日,nichiyoubi
25日,nijuugonichi
日本,nihon
四時,yoji
七時,shichiji
九時,kuji
十五分,juugofun
十分,juppun
半分,hanbun
火,hi
火曜日,kayoubi
水,mizu
水曜日,suiyoubi
木,ki
五木,itsuki
木曜日,mokuyoubi
お金,okane
金メダル,kinmedar
金曜日,kinyoubi
土,tsuchi
土曜日,doyoubi
土地(ち),tochi
平日,heijitsu
休む,yasumu
休み,yasumi
休日,kyuujitsu
------,Lesson 3
今,ima
今年,kotoshi
今日,kyou
今月,kongetsu
何が,naniga
何で,nande
何ですか,nandesuka
何時,nanji
何月,nangatsu
何曜日,nanyoubi
何年,nannen
何人,nannin
1時半,ichijihan
半分,hanbun
半年,hantoshi
前,mae
～の前に,nomaeni
前半,zenhan
後ろ,ushiro
～の後で,noatode
30分後,sanjuppungo
後半,kouha
午前,gozen
午後,gogo
行く,iku
銀(ぎん)行,ginkou
来ます,kimasu
来る,kuru
来ない,konai
来年,rainen
来月,raigetsu
帰る,kaeru
帰国(する),kikokusuru
会う,au
会議,kaigi
会社,kaisha
------,Lesson 4
高い,takai
円高,endaka
高校,koukou
色,iro
３色,sanshoku
赤い,akai
赤ちゃん,baby
赤道(どう),sekidou
白い,shiroi
白書,hakusho
青い,aoi
青年,seinen
黒い,kuroi
買う,kau
買い物,kaimono
日本,nihon
本,hon
２本,nihon
本社,honsha
小さい,chiisai
小型(がた),kogata
小学校,shougakkou
大きい,ookii
大型(がた),oogata
大学,daigaku
マラソン大会,marasontaikai
安い,yasui
円安,enyasu
安全(ぜん)(な),anzenna
------,Lesson 5
電話(する),denwasuru
話,hanashi
話す,hanasu
会話(する),kaiwasuru
上,ue
～が上がる,gaagaru
屋上,okujou
下,shita
～が下がる,gasagaru
地(ち)下,chika
上下,jouge
花,hana
花火,hanabi
花見,hanami
花びん,kabin
左,hidari
左右,sayuu
右,migi
中,naka
真(ま)ん中,mannaka
電話中,denwachuu
会議中,kaigichuu
一年中,ichinenjuu
店,mise
本店,honten
------,Lesson 6
駅,eki
南,minami
東南アジア,tounanajia
口,kuchi
南口,minamiguchi
人口,jinkou
北,kita
北口,kitaguchi
東北,touhoku
南北,nanboku
西,nishi
西口,nishiguchi
東,higashi
東口,higashiguchi
中東,chuutou
東京,toukyou
京都(と),kyouto
中央,chuuou
中央口,chuuouguchi
入る,hairu
入れる,ireru
入口,iriguchi
輸(ゆ)入(する),yunyuusuru
入社(する),nyuushasuru
出る,deru
出す,dasu
出口,deguchi
出張(する),shutchousuru
輸(ゆ)出(する),yushutsusuru
------,Lesson 7
日本語,nihongo
英語,eigo
村,mura
中村,nakamura
名前,namae
1名,ichimei
国,kuni
帰国(する),kikokusuru
四国,shikoku
国会,koukai
中国,chuugoku
一番,ichiban
テレビ番組(ぐみ),terebibangumi
私の番,watashinoban
番号,bangou
信(しん)号,shingou
1号車,ichigousha
人,hito
一人,hitori
二人,futari
大人,otona
日本人,nihonjin
人口,jinkou
三人,sannin
四人,yonin
大学,daigaku
入学(する),nyuugakusuru
生きる,ikiru
生まれる,umareru
生ビール,namabiru
学生,gakusei
生年月日,seinengappi
誕(たん)生日,tanjoubi
社員,shain
会員,kaiin
店員,tenin
駅員,ekiin
会社員,kaishain
------,Lesson 8
私,watashi
私立,shiritsu
家,ie
家族,kazoku
スミス家,sumisuke
母,haha
お母さん,okaasan
父,chichi
お父さん,otoosan
父母,fubo
親,oya
母親,hahaoya
父親,chichioya
親しい,shitashii
親切(せつ)(な),shinsetsuna
両親,ryoushin
両方(ほう),ryouhou
子ども,kodomo
子会社,kogaisha
電子レンジ,denshirenji
兄,ani
お兄さん,oniisan
弟,ototo
兄弟,kyoudai
姉,ane
お姉さん,oneesan
妹,imoto
姉妹,shimai
------,Lesson 9
毎日,mainichi
毎月,maitsuki
毎年,maitoshi
毎週,maishuu
朝,asa
毎朝,maiasa
朝ごはん,asagohan
今朝,kesa
朝食,choushoku
昼,hiru
昼ごはん,hirugohan
昼休み,hiruyasumi
昼食,chuushoku
晩,ban
毎晩,maiban
晩ごはん,bangohan
夜,yoru
夜中,yonaka
今夜,konya
食べる,taberu
夕(ゆう)食,yuushoku
食事(する),shokujisuru
飲む,nomu
見る,miru
～が見える,gamieru
～を見せる,gamiseru
見学(する),kengakusuru
聞く,kiku
～が聞こえる,gakikoeru
新聞,shinbun
読む,yomu
書く,kaku
読書,dokusho
辞(じ)書,jisho
書道(どう),shodou
------,Lesson 10
場所(しょ),basho
会場,kaijou
買い物,kaimono
食べ物,tabemono
飲み物,nomimono
動(どう)物,doubutsu
学校,gakkou
中学校,chuugakkou
小学校,shougakkou
高校,koukou
市場,ichiba
朝市,asaichi
京都(と)市,kyoutoshi
都(と)市,toshi
～が立つ,gatatsu
市立,shiritsu/ichiritsu
国立,kokuritsu
私立,shiritsu/watakushiritsu
公園,kouen
動(どう)物園,doubutsuen
本屋,honya
パン屋,panya
花屋,hanaya
屋上,okujou
交番,kouban
差,sa
交差点,kousaten
点,ten
100点,hyakuten
------,Lesson 11
歌,uta
歌う,utau
歌手(しゅ),kashu
電気,denki
人気,ninki
気分,kibun
気に入る,kiniiru
友だち,tomodachi
友人,yuujin
新しい,atarashii
新聞,shinbun
車,kuruma
電車,densha
週,shuu
先週,senshuu
今週,konshuu
来週,raishuu
毎週,maishuu
今月の末,kongetsunosue
週末,shuumatsu
月末,getsumatsu
年末,nenmatsu
～の先,nosaki
お先に,osakini
先生,sensei
先月,sengetsu
明るい,akarui
明日,ashita
説(せつ)明,setsumei
元社長(ちょう),motoshachou
元気(な),genkina
元日,ganjitsu
働く,hataraku
------,Lesson 12
予定(する),yoteisuru
定める,sadameru
定食,teishoku
定年,teinen
会議,kaigi
国会議員,kokkaigiin
議会,gikai
映画,eiga
画面(めん),gamen
出張(する),shutchousuru
送る,okuru
送金(する),soukinsuru
別れる,wakareru
送別会,soubetsukai
別,betsu
仕事,shigoto
食事(する),shokujisuru
火事,kaji
大事(な),daijina
～が終わる,gaowaru
最(さい)終,saishuu
～が始まる,gahajimaru
～を始める,gahajimeru
年始,nenshi
------,Lesson 13
空,
空く,
空気,
港,
空港,
地下,
地図,
ず,
土地,
地方,
ほう,
地下鉄,
不便(な),
ふ,
JL95便,
便利(な),
線,
新幹線,
かん,
乗る,
乗りかえる,
降りる,
降る,
AとBの間,
間に合う,
あ,
時間,
２時間,
２週間,
田中,
------,Lesson 14
工場,
工事,
受ける,
受験(する),
けん,
～が付く,
受付,
朝食付,
送付(する),
事務所,
公務員,
所,
場所,
システム部,
部分,
工学部,
部下,
部屋,
デザイン課,
２課,
長い,
課長,
部長,
社長,
議長,
校長,
英語,
えい,
------,Lesson 15
手,
切手,
きっ,
下手(な),
へ,
歌手,
上手(な),
紙,
手紙,
和紙,
わ,
住む,
住所,
道,
北海道,
かい,
書道,
京都府,
と,
大阪府,
さか,
都道府県,
と,
福岡県,
ふく,
おか,
中央区,
町,
北町,
市区町村,
中村様,
様子,
す,
