------,Lesson 1
字,
ローマ字,
漢字,
覚える,
覚え方,
目が覚める,
勉強(する),
使う,
大使,
言う,
言葉,
ば,
言語学,
声,
正しい,
正月,
正直(な),
じき,
正式(な),
しき,
書き順,
アルファベット順,
習う,
学習(する),
練習(する),
形,
長方形,
人形,
------,Lesson 2
文学部,
注文(する),
ちゅう,
文字,
教える,
教わる,
教育(する),
イスラム教,
キリスト教,
仏教,
ぶっ,
～が育つ,
～を育てる,
教育学部,
体育館,
教室,
図,
地図,
図書室,
図書館,
大使館,
旅館,
５号館,
留学(する),
留学生,
留守番電話,
す,
特に,
特別(な),
特別教室,
研修(する),
しゅう,
研究(する),
研究室,
食堂,
国会議事堂,
門,
正門,
東門,
------,Lesson 3
生活(する),
活動(する),
入学式,
正式(な),
株式,
かぶ,
前期,
後期,
期待(する),
期間,
教授,
授業(する),
休業(する),
企業,
き,
試す,
試みる,
入試,
試食(する),
試着(する),
試験(する),
体験(する),
実験(する),
じっ,
受験(する),
祭り,
大学祭,
卒業(する),
新卒,
卒業式,
質がいい,
質屋,
人質,
問い合わせ,
あ,
質問(する),
問題,
だい,
訪問(する),
ほう,
答える,
答え,
回答(する),
------,Lesson 4
規制(する),
規則,
限る,
制限(する),
門限,
期限,
限定(する),
遅れる,
遅い,
遅れ,
遅刻(する),
こく,
持つ,
持ち込む,
こ,
気持ち,
支持(する),
し,
用いる,
利用(する),
用,
夏用,
使用(する),
用意(する),
制度,
体制,
注ぐ,
注意(する),
注目(する),
注文(する),
意見(する),
決意(する),
服,
洋服,
制服,
恋人,
恋愛(する),
あい,
～が泊まる,
～を泊める,
宿泊(する),
しゅく,
１泊,
------,Lesson 5
温かい,
温泉,
せん,
気温,
温度,
体温,
静か(な),
冷静(な),
れい,
～が集まる,
～を集める,
集中(する),
～が通る,
～を通す,
新宿通り,
見通し,
通う,
交通,
通信(する),
しん,
通じる,
～が直る,
～を直す,
見直す,
直通,
直行便,
正直(な),
宿,
宿泊(する),
宿題,
だい,
新宿,
周り,
周囲,
い,
一周(する),
この辺り,
周辺,
観測(する),
そく,
光る,
光,
観光(する),
報告(する),
こく,
情報,
事情,
------,Lesson 6
自然,
天然ガス,
遊ぶ,
遊園地,
歩く,
散歩(する),
さん,
歩道,
業界,
世の中,
世界,
16世紀,
き,
産む,
生産(する),
産業,
世界遺産,
い,
国産,
(お)土産,
植える,
植物,
鳥,
牛,
牛乳,
にゅう,
牛肉,
にく,
転ぶ,
自転車,
運転(する),
うん,
転勤(する),
きん,
貸す,
貸し自転車,
賃貸,
ちん,
借りる,
借家,
借金(する),
------,Lesson 7
席,
指定席,
自由席,
ゆう,
議席,
